feature,rank_pca,rank_lda,rank_lasso,rank_shap,mean_rank,rxn_id,is_slc
MAR00262__sd_flux,3533.0,17.0,2268.0,415.0,1558.25,MAR00262,True
MAR00248__sd_flux,3529.0,57.0,2287.0,448.5,1580.375,MAR00248,True
MAR05980__sd_flux,6204.5,468.0,97.0,120.5,1722.5,MAR05980,True
MAR05932__sd_flux,6204.5,468.0,97.0,145.5,1728.75,MAR05932,True
MAR05913__ci_upper,6204.5,468.0,197.0,55.0,1731.125,MAR05913,True
MAR05961__sd_flux,6204.5,468.0,97.0,179.5,1737.25,MAR05961,True
MAR05925__sd_flux,6204.5,468.0,97.0,259.5,1757.25,MAR05925,True
MAR05950__ci_upper,6204.5,468.0,197.0,204.0,1768.375,MAR05950,True
MAR05942__ci_upper,6204.5,468.0,197.0,204.0,1768.375,MAR05942,True
MAR05919__sd_flux,6204.5,468.0,97.0,314.5,1771.0,MAR05919,True
MAR05964__ci_upper,6204.5,468.0,197.0,259.5,1782.25,MAR05964,True
MAR05470__mean_flux,6204.5,775.5,23.0,225.0,1807.0,MAR05470,True
MAR05981__sd_flux,6204.5,468.0,97.0,464.0,1808.375,MAR05981,True
MAR10824__ci_upper,6204.5,468.0,97.0,504.0,1818.375,MAR10824,True
MAR05933__sd_flux,6204.5,468.0,97.0,527.5,1824.25,MAR05933,True
MAR05962__ci_upper,6204.5,468.0,97.0,552.5,1830.5,MAR05962,True
MAR05037__ci_lower,6204.5,468.0,332.5,345.5,1837.625,MAR05037,True
MAR05935__sd_flux,6204.5,468.0,97.0,589.0,1839.625,MAR05935,True
MAR05935__ci_upper,6204.5,468.0,197.0,549.0,1854.625,MAR05935,True
MAR05528__mean_flux,4119.5,1533.5,1036.5,795.0,1871.125,MAR05528,True
MAR10910__ci_upper,6204.5,468.0,97.0,722.0,1872.875,MAR10910,True
MAR05932__ci_upper,6204.5,468.0,197.0,622.5,1873.0,MAR05932,True
MAR05977__mean_flux,6410.0,468.0,397.0,225.0,1875.0,MAR05977,True
MAR07719__sd_flux,6504.0,149.5,443.5,464.0,1890.25,MAR07719,True
MAR06168__cv,4119.5,2210.0,1173.0,160.5,1915.75,MAR06168,True
MAR05927__mean_flux,6410.0,468.0,397.0,415.0,1922.5,MAR05927,True
MAR05584__sd_flux,6204.5,744.5,450.0,314.5,1928.375,MAR05584,True
MAR05958__cv,6410.0,229.0,283.0,803.0,1931.25,MAR05958,True
MAR05932__mean_flux,6410.0,468.0,397.0,464.0,1934.75,MAR05932,True
MAR00348__cv,4119.5,1408.5,2100.0,116.5,1936.125,MAR00348,True
MAR05922__ci_upper,6204.5,468.0,197.0,915.0,1946.125,MAR05922,True
MAR05954__cv,6410.0,229.0,283.0,869.0,1947.75,MAR05954,True
MAR05963__mean_flux,6410.0,468.0,397.0,579.0,1963.5,MAR05963,True
MAR05956__mean_flux,6410.0,468.0,397.0,594.0,1967.25,MAR05956,True
MAR10820__mean_flux,4119.5,2210.0,1173.0,382.5,1971.25,MAR10820,True
MAR05940__mean_flux,6410.0,468.0,397.0,684.0,1989.75,MAR05940,True
MAR10900__mean_flux,2150.0,5065.0,744.0,3.0,1990.5,MAR10900,True
MAR10932__mean_flux,2150.0,5065.0,744.0,10.5,1992.375,MAR10932,True
MAR00240__cv,4119.5,2210.0,1173.0,496.5,1999.75,MAR00240,True
MAR05961__mean_flux,6410.0,468.0,397.0,727.0,2000.5,MAR05961,True
MAR10885__mean_flux,2150.0,5065.0,744.0,97.5,2014.125,MAR10885,True
MAR10942__mean_flux,4119.5,2210.0,1354.0,382.5,2016.5,MAR10942,True
MAR05972__mean_flux,6410.0,468.0,397.0,804.0,2019.75,MAR05972,True
MAR10873__mean_flux,2150.0,5065.0,744.0,125.5,2021.125,MAR10873,True
MAR05929__mean_flux,6410.0,468.0,397.0,812.5,2021.875,MAR05929,True
MAR10921__mean_flux,2150.0,5065.0,744.0,150.0,2027.25,MAR10921,True
MAR10740__mean_flux,2150.0,5065.0,744.0,169.0,2032.0,MAR10740,True
MAR10927__mean_flux,2150.0,5065.0,744.0,196.0,2038.75,MAR10927,True
MAR10882__mean_flux,2150.0,5065.0,744.0,210.0,2042.25,MAR10882,True
MAR05430__cv,4119.5,2210.0,1173.0,757.0,2064.875,MAR05430,True
MAR00412__cv,4119.5,2210.0,1354.0,600.0,2070.875,MAR00412,True
MAR06166__mean_flux,4119.5,2210.0,1173.0,824.0,2081.625,MAR06166,True
MAR00270__ci_upper,4119.5,2210.0,1801.0,210.0,2085.125,MAR00270,True
MAR10743__mean_flux,2150.0,5065.0,744.0,426.5,2096.375,MAR10743,True
MAR10818__mean_flux,2150.0,5065.0,744.0,438.0,2099.25,MAR10818,True
MAR01780__mean_flux,4119.5,2210.0,1354.0,718.0,2100.375,MAR01780,True
